"N","Camisa","Nome","InStat Index","Partidas jogadas","Minutos jogados","Escalações no time titular","Substituído","Substituindo","Gols","Assistências","Impedimentos","Cartões amarelos","Cartões vermelhos","Chutes","Chutes/gol","Pênalti","Pênaltis convertidos","Cobranças de pênalti convertidas, %","Passes","% de precisão dos passes","Passes chave","Cruzamentos","% de precisão nos cruzamentos","Bolas perdidas","Bolas perdidas / no próprio campo","Bolas recuperadas","Bolas recuperadas no campo do adversário","xG (Gols esperados)","Disputas","% disputas ganhas","Disputas no ataque","Disputas aéreas","% disputas aéreas ganhas","Dribles","Desarmes","Interceptações","Rebotes"
"586",19,"Griffin Dorsey","0",1,"11","0","0","1","0","0","0","0","0","0","0","0","0","0","4","100%","0","0","0","1","0","1","0","0","2","50%","1","1","100%","1","0","3","0"
"587",36,"Andre Reynolds","0",2,"22","0","0","2","0","0","0","0","0","0","0","0","0","0","9","44%","0","0","0","3","1","0","0","0","2","100%","1","1","100%","0","0","1","1"
"588",40,"Brian Gutierrez","0",6,"52","0","0","6","0","0","0","0","0","1","1","0","0","0","16","63%","2","1","0","4","1","1","1","0.11","7","29%","2","2","0","0","2","2","5"
"589",84,"Joshua Atencio","0",6,"36","0","0","6","0","0","0","0","0","0","0","0","0","0","45","91%","0","0","0","2","1","2","0","0","2","50%","0","0","0","0","1","1","4"
"590",33,"Edwin Cerrillo","0",2,"27","0","0","2","0","0","0","0","0","0","0","0","0","0","6","83%","0","0","0","1","1","1","1","0","4","50%","1","0","0","0","1","0","0"
"591",8,"Memo Rodriguez","0",1,"85","1","1","0","0","0","0","0","0","0","0","0","0","0","39","72%","2","4","25%","9","0","3","1","0","13","54%","6","2","50%","3","6","1","4"
"592",60,"Cameron Dunbar","0",4,"94","1","1","3","0","0","0","0","0","2","0","0","0","0","20","80%","0","0","0","5","1","1","0","0.19","14","21%","9","1","0","5","4","4","3"
"593",33,"Jordan Bender","0",2,"55","1","1","1","0","0","0","0","0","1","0","0","0","0","12","67%","0","1","100%","10","1","0","0","0.07000000000000001","12","17%","9","1","100%","3","2","1","0"
"594",31,"Gordon Wild","0",3,"41","0","0","3","0","1","1","0","0","0","0","0","0","0","9","67%","1","0","0","8","0","0","0","0","12","25%","10","3","33%","4","2","0","2"
"595",26,"Jacob Speed","0",1,"96","1","0","0","0","0","0","0","0","0","0","0","0","0","49","82%","0","1","0","7","3","6","3","0","16","31%","3","2","0","2","4","7","6"
"596",14,"Noble Okello","0",1,"28","0","0","1","0","0","0","0","0","0","0","0","0","0","7","57%","0","0","0","3","1","2","1","0","7","71%","2","4","75%","1","1","1","1"
"597",14,"Marcelo Palomino","0",3,"34","0","0","3","0","0","0","0","0","0","0","0","0","0","26","92%","0","0","0","1","0","3","1","0","9","33%","4","2","50%","2","0","0","6"
"598",12,"Mustafa Kizza","0",2,"77","0","0","2","0","0","0","0","0","0","0","0","0","0","30","67%","0","3","0","7","1","4","1","0","2","100%","0","0","0","0","2","5","4"
"599",25,"Joseph Scally","0",5,"81","1","1","4","0","0","0","1","0","1","1","0","0","0","52","87%","1","2","100%","4","3","7","2","0.03","13","69%","7","3","100%","4","3","4","6"
"600",35,"Gilbert Fuentes","0",1,"9","0","0","1","0","0","0","0","0","0","0","0","0","0","10","70%","0","0","0","1","0","0","0","0","1","0","1","0","0","0","0","0","1"
"601",19,"Siad Haji","0",1,"6","0","0","1","0","0","0","0","0","0","0","0","0","0","4","100%","0","0","0","0","0","0","0","0","2","100%","2","0","0","2","0","0","1"
"602",99,"Ifunyachi Achara","0",1,"99","1","1","0","1","0","1","0","0","2","2","0","0","0","30","83%","0","1","0","9","2","4","1","0.61","17","41%","9","1","0","6","4","3","14"
"603",30,"David Loera","0",2,"30","0","0","2","0","0","0","0","0","0","0","0","0","0","2","100%","0","0","0","1","0","0","0","0","5","20%","3","1","0","0","0","1","0"
"604",23,"Milan Iloski","0",1,"2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"605",24,"Karifa Yao","0",2,"135","1","0","1","0","0","0","0","0","2","0","0","0","0","43","86%","1","0","0","5","1","9","2","0.28","15","60%","3","2","100%","1","7","9","5"
"606",13,"Cole Turner","0",1,"5","0","0","1","0","0","0","0","0","0","0","0","0","0","5","100%","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","1","1"
"607",14,"Jack de Vries","0",4,"27","0","0","4","0","0","0","0","0","0","0","0","0","0","4","50%","0","2","0","2","0","0","0","0","3","67%","0","0","0","0","3","0","0"
"608",17,"Christopher Garcia","0",1,"2","0","0","1","0","0","0","0","0","0","0","0","0","0","2","50%","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"609",29,"Jacob Akanyirige","0",1,"72","1","1","0","0","0","0","0","0","0","0","0","0","0","36","92%","0","0","0","3","1","10","0","0","11","64%","3","4","75%","1","1","5","8"
"610",75,"Daniel Leyva","0",2,"67","1","1","1","0","0","0","0","0","0","0","0","0","0","36","94%","0","0","0","5","4","1","0","0","6","33%","3","0","0","1","1","2","4"
"611",45,"Ethan Christopher Dobbelaere","0",2,"59","1","1","1","0","0","0","0","0","1","0","0","0","0","17","82%","0","2","50%","5","1","1","0","0.05","11","9%","6","1","0","2","3","3","5"
"612",23,"Carlos Teran Diaz","0",2,"26","0","0","2","0","0","0","0","0","1","0","0","0","0","13","62%","0","0","0","2","1","2","0","0.04","5","80%","2","4","75%","1","0","2","4"
"613",29,"Santiago Patino Pizano","0",4,"41","0","0","4","0","0","0","0","0","0","0","0","0","0","6","83%","0","0","0","3","1","1","0","0","3","33%","2","1","100%","0","0","1","1"
"614",15,"J. Marshall0Rutty","0",1,"18","0","0","1","0","0","0","0","0","1","1","0","0","0","12","100%","0","0","0","0","0","0","0","0.13","3","67%","2","1","100%","1","1","0","1"
"615",62,"Damiano Pecile","0",1,"0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"616",44," Cade Cowell","0",1,"48","0","0","1","0","0","0","0","0","2","0","0","0","0","20","80%","2","4","25%","5","1","3","0","0.03","11","45%","8","3","67%","5","1","1","2"
"617",32,"George Campbell","0",1,"56","0","0","1","0","0","0","0","0","0","0","0","0","0","44","82%","0","1","0","5","1","2","0","0","9","56%","2","1","100%","0","1","4","0"
"618",18,"Erik Duenas","0",2,"46","0","0","2","0","0","0","1","0","0","0","0","0","0","27","78%","1","2","50%","6","0","2","0","0","9","11%","3","2","50%","2","4","1","3"
"619",3,"Mohamed Traore","0",1,"47","1","1","0","0","0","0","0","0","1","0","0","0","0","36","75%","1","0","0","8","2","7","1","0.11","7","29%","3","2","50%","1","2","2","7"
